Indicator,S.No.,Parameters,Type,District,Value
M17 [Vaccines],17.12,Rotavirus,5. Total Stock,Nilgiris,4460.0
M17 [Vaccines],17.13,Inactivated Polio Vaccine,1. Balance From Previous Month,Nilgiris,31415.0
M17 [Vaccines],17.13,Inactivated Polio Vaccine,2. Stocks Received,Nilgiris,20625.0
M17 [Vaccines],17.13,Inactivated Polio Vaccine,3. Unusable Stock,Nilgiris,14275.0
M17 [Vaccines],17.13,Inactivated Polio Vaccine,4. Stock Distributed,Nilgiris,23125.0
M17 [Vaccines],17.13,Inactivated Polio Vaccine,5. Total Stock,Nilgiris,26280.0
M17 [Vaccines],17.14,Measles Rubella (MR),1. Balance From Previous Month,Nilgiris,10660.0
M17 [Vaccines],17.14,Measles Rubella (MR),2. Stocks Received,Nilgiris,28510.0
M17 [Vaccines],17.14,Measles Rubella (MR),3. Unusable Stock,Nilgiris,10750.0
M17 [Vaccines],17.14,Measles Rubella (MR),4. Stock Distributed,Nilgiris,33510.0
M17 [Vaccines],17.14,Measles Rubella (MR),5. Total Stock,Nilgiris,5660.0
M18 [Family Planning],18.1,IUD 380 A,1. Balance From Previous Month,Nilgiris,4482.0
M18 [Family Planning],18.1,IUD 380 A,2. Stocks Received,Nilgiris,1800.0
M18 [Family Planning],18.1,IUD 380 A,3. Unusable Stock,Nilgiris,0.0
M18 [Family Planning],18.1,IUD 380 A,4. Stock Distributed,Nilgiris,675.0
M18 [Family Planning],18.1,IUD 380 A,5. Total Stock,Nilgiris,5607.0
M18 [Family Planning],18.2,IUD 375 A,1. Balance From Previous Month,Nilgiris,25683.0
M18 [Family Planning],18.2,IUD 375 A,2. Stocks Received,Nilgiris,600.0
M18 [Family Planning],18.2,IUD 375 A,3. Unusable Stock,Nilgiris,0.0
M18 [Family Planning],18.2,IUD 375 A,4. Stock Distributed,Nilgiris,1519.0
M18 [Family Planning],18.2,IUD 375 A,5. Total Stock,Nilgiris,24764.0
M18 [Family Planning],18.3,Condoms,1. Balance From Previous Month,Nilgiris,1617130.0
M18 [Family Planning],18.3,Condoms,2. Stocks Received,Nilgiris,56700.0
M18 [Family Planning],18.3,Condoms,3. Unusable Stock,Nilgiris,0.0
M18 [Family Planning],18.3,Condoms,4. Stock Distributed,Nilgiris,72870.0
M18 [Family Planning],18.3,Condoms,5. Total Stock,Nilgiris,1600960.0
M18 [Family Planning],18.4,Oral Contraceptive,1. Balance From Previous Month,Nilgiris,92140.0
M18 [Family Planning],18.4,Oral Contraceptive,2. Stocks Received,Nilgiris,3000.0
M18 [Family Planning],18.4,Oral Contraceptive,3. Unusable Stock,Nilgiris,0.0
M18 [Family Planning],18.4,Oral Contraceptive,4. Stock Distributed,Nilgiris,6010.0
M18 [Family Planning],18.4,Oral Contraceptive,5. Total Stock,Nilgiris,89130.0
M18 [Family Planning],18.5,Emergency Contraceptive Pills,1. Balance From Previous Month,Nilgiris,4954.0
M18 [Family Planning],18.5,Emergency Contraceptive Pills,2. Stocks Received,Nilgiris,300.0
M18 [Family Planning],18.5,Emergency Contraceptive Pills,3. Unusable Stock,Nilgiris,0.0
M18 [Family Planning],18.5,Emergency Contraceptive Pills,4. Stock Distributed,Nilgiris,220.0
M18 [Family Planning],18.5,Emergency Contraceptive Pills,5. Total Stock,Nilgiris,5034.0
M18 [Family Planning],18.6,Centchroman weekly pills,1. Balance From Previous Month,Nilgiris,26409.0
M18 [Family Planning],18.6,Centchroman weekly pills,2. Stocks Received,Nilgiris,0.0
M18 [Family Planning],18.6,Centchroman weekly pills,3. Unusable Stock,Nilgiris,0.0
M18 [Family Planning],18.6,Centchroman weekly pills,4. Stock Distributed,Nilgiris,838.0
M18 [Family Planning],18.6,Centchroman weekly pills,5. Total Stock,Nilgiris,25571.0
M18 [Family Planning],18.7,Injectable Contraceptive MPA (Vials),1. Balance From Previous Month,Nilgiris,9896.0
M18 [Family Planning],18.7,Injectable Contraceptive MPA (Vials),2. Stocks Received,Nilgiris,720.0
M18 [Family Planning],18.7,Injectable Contraceptive MPA (Vials),3. Unusable Stock,Nilgiris,0.0
M18 [Family Planning],18.7,Injectable Contraceptive MPA (Vials),4. Stock Distributed,Nilgiris,451.0
M18 [Family Planning],18.7,Injectable Contraceptive MPA (Vials),5. Total Stock,Nilgiris,10885.0
M18 [Family Planning],18.8,Tubal rings,1. Balance From Previous Month,Nilgiris,4524.0
M18 [Family Planning],18.8,Tubal rings,2. Stocks Received,Nilgiris,400.0
M18 [Family Planning],18.8,Tubal rings,3. Unusable Stock,Nilgiris,0.0
M18 [Family Planning],18.8,Tubal rings,4. Stock Distributed,Nilgiris,266.0
M18 [Family Planning],18.8,Tubal rings,5. Total Stock,Nilgiris,4658.0
M18 [Family Planning],18.9,Pregnancy testing Kits (Nischay Kits),1. Balance From Previous Month,Nilgiris,19100.0
M18 [Family Planning],18.9,Pregnancy testing Kits (Nischay Kits),2. Stocks Received,Nilgiris,9000.0
M18 [Family Planning],18.9,Pregnancy testing Kits (Nischay Kits),3. Unusable Stock,Nilgiris,0.0
M18 [Family Planning],18.9,Pregnancy testing Kits (Nischay Kits),4. Stock Distributed,Nilgiris,3390.0
M18 [Family Planning],18.9,Pregnancy testing Kits (Nischay Kits),5. Total Stock,Nilgiris,24710.0
M19 [Other Items],19.1,Gloves,1. Balance From Previous Month,Nilgiris,0.0
M19 [Other Items],19.1,Gloves,2. Stocks Received,Nilgiris,0.0
M19 [Other Items],19.1,Gloves,3. Unusable Stock,Nilgiris,0.0
M19 [Other Items],19.1,Gloves,4. Stock Distributed,Nilgiris,0.0
M19 [Other Items],19.1,Gloves,5. Total Stock,Nilgiris,0.0
M19 [Other Items],19.2,MVA Syringes,1. Balance From Previous Month,Nilgiris,0.0
M19 [Other Items],19.2,MVA Syringes,2. Stocks Received,Nilgiris,0.0
M19 [Other Items],19.2,MVA Syringes,3. Unusable Stock,Nilgiris,0.0
M19 [Other Items],19.2,MVA Syringes,4. Stock Distributed,Nilgiris,0.0
M19 [Other Items],19.2,MVA Syringes,5. Total Stock,Nilgiris,0.0
M19 [Other Items],19.3,Tab. Fluconazole,1. Balance From Previous Month,Nilgiris,0.0
M19 [Other Items],19.3,Tab. Fluconazole,2. Stocks Received,Nilgiris,0.0
M19 [Other Items],19.3,Tab. Fluconazole,3. Unusable Stock,Nilgiris,0.0
M19 [Other Items],19.3,Tab. Fluconazole,4. Stock Distributed,Nilgiris,0.0
M19 [Other Items],19.3,Tab. Fluconazole,5. Total Stock,Nilgiris,0.0
M19 [Other Items],19.4,Blood Transfusion sets,1. Balance From Previous Month,Nilgiris,0.0
M19 [Other Items],19.4,Blood Transfusion sets,2. Stocks Received,Nilgiris,0.0
M19 [Other Items],19.4,Blood Transfusion sets,3. Unusable Stock,Nilgiris,0.0
M19 [Other Items],19.4,Blood Transfusion sets,4. Stock Distributed,Nilgiris,0.0
M19 [Other Items],19.4,Blood Transfusion sets,5. Total Stock,Nilgiris,0.0
M19 [Other Items],19.5,Gluteraldehyde 2%,1. Balance From Previous Month,Nilgiris,0.0
M19 [Other Items],19.5,Gluteraldehyde 2%,2. Stocks Received,Nilgiris,0.0
M19 [Other Items],19.5,Gluteraldehyde 2%,3. Unusable Stock,Nilgiris,0.0
M19 [Other Items],19.5,Gluteraldehyde 2%,4. Stock Distributed,Nilgiris,0.0
M19 [Other Items],19.5,Gluteraldehyde 2%,5. Total Stock,Nilgiris,0.0
M19 [Other Items],19.6,IFA tablets ( Adult),1. Balance From Previous Month,Nilgiris,0.0
M19 [Other Items],19.6,IFA tablets ( Adult),2. Stocks Received,Nilgiris,1482700.0
M19 [Other Items],19.6,IFA tablets ( Adult),3. Unusable Stock,Nilgiris,0.0
M19 [Other Items],19.6,IFA tablets ( Adult),4. Stock Distributed,Nilgiris,1482700.0
M19 [Other Items],19.6,IFA tablets ( Adult),5. Total Stock,Nilgiris,0.0
M19 [Other Items],19.7,IFA - Blue ( Adolescent 10-19 yrs),1. Balance From Previous Month,Nilgiris,0.0
M19 [Other Items],19.7,IFA - Blue ( Adolescent 10-19 yrs),2. Stocks Received,Nilgiris,1858150.0
M19 [Other Items],19.7,IFA - Blue ( Adolescent 10-19 yrs),3. Unusable Stock,Nilgiris,0.0
M19 [Other Items],19.7,IFA - Blue ( Adolescent 10-19 yrs),4. Stock Distributed,Nilgiris,1858150.0
M19 [Other Items],19.7,IFA - Blue ( Adolescent 10-19 yrs),5. Total Stock,Nilgiris,0.0
M19 [Other Items],19.8,IFA- Pink ( Junior 6-10 yrs),1. Balance From Previous Month,Nilgiris,0.0
M19 [Other Items],19.8,IFA- Pink ( Junior 6-10 yrs),2. Stocks Received,Nilgiris,1439800.0
M19 [Other Items],19.8,IFA- Pink ( Junior 6-10 yrs),3. Unusable Stock,Nilgiris,0.0
M19 [Other Items],19.8,IFA- Pink ( Junior 6-10 yrs),4. Stock Distributed,Nilgiris,1439800.0
M19 [Other Items],19.8,IFA- Pink ( Junior 6-10 yrs),5. Total Stock,Nilgiris,0.0
M19 [Other Items],19.9,IFA Syrup (Paediatric),1. Balance From Previous Month,Nilgiris,0.0
M19 [Other Items],19.9,IFA Syrup (Paediatric),2. Stocks Received,Nilgiris,0.0
M19 [Other Items],19.9,IFA Syrup (Paediatric),3. Unusable Stock,Nilgiris,0.0
M19 [Other Items],19.9,IFA Syrup (Paediatric),4. Stock Distributed,Nilgiris,0.0
M19 [Other Items],19.9,IFA Syrup (Paediatric),5. Total Stock,Nilgiris,0.0
M19 [Other Items],19.1,Paediatrics Antibiotics ( Amoxycillin and Injectable Gentamicin),1. Balance From Previous Month,Nilgiris,0.0
M19 [Other Items],19.1,Paediatrics Antibiotics ( Amoxycillin and Injectable Gentamicin),2. Stocks Received,Nilgiris,0.0
M19 [Other Items],19.1,Paediatrics Antibiotics ( Amoxycillin and Injectable Gentamicin),3. Unusable Stock,Nilgiris,0.0
M19 [Other Items],19.1,Paediatrics Antibiotics ( Amoxycillin and Injectable Gentamicin),4. Stock Distributed,Nilgiris,0.0
M19 [Other Items],19.1,Paediatrics Antibiotics ( Amoxycillin and Injectable Gentamicin),5. Total Stock,Nilgiris,0.0
M19 [Other Items],19.11,Vit A syrup,1. Balance From Previous Month,Nilgiris,0.0
M19 [Other Items],19.11,Vit A syrup,2. Stocks Received,Nilgiris,1399.0
M19 [Other Items],19.11,Vit A syrup,3. Unusable Stock,Nilgiris,0.0
M19 [Other Items],19.11,Vit A syrup,4. Stock Distributed,Nilgiris,1399.0
M19 [Other Items],19.11,Vit A syrup,5. Total Stock,Nilgiris,0.0
M19 [Other Items],19.12,ORS (New WHO),1. Balance From Previous Month,Nilgiris,0.0
M19 [Other Items],19.12,ORS (New WHO),2. Stocks Received,Nilgiris,121421.0
M19 [Other Items],19.12,ORS (New WHO),3. Unusable Stock,Nilgiris,0.0
M19 [Other Items],19.12,ORS (New WHO),4. Stock Distributed,Nilgiris,121421.0
M19 [Other Items],19.12,ORS (New WHO),5. Total Stock,Nilgiris,0.0
M19 [Other Items],19.13,RTI /STI colour coded syndromic kits ( I to VII),1. Balance From Previous Month,Nilgiris,0.0
M19 [Other Items],19.13,RTI /STI colour coded syndromic kits ( I to VII),2. Stocks Received,Nilgiris,0.0
M19 [Other Items],19.13,RTI /STI colour coded syndromic kits ( I to VII),3. Unusable Stock,Nilgiris,0.0
M19 [Other Items],19.13,RTI /STI colour coded syndromic kits ( I to VII),4. Stock Distributed,Nilgiris,0.0
M19 [Other Items],19.13,RTI /STI colour coded syndromic kits ( I to VII),5. Total Stock,Nilgiris,0.0
M19 [Other Items],19.14,Zinc 20 mg tablet,1. Balance From Previous Month,Nilgiris,0.0
M19 [Other Items],19.14,Zinc 20 mg tablet,2. Stocks Received,Nilgiris,149100.0
M19 [Other Items],19.14,Zinc 20 mg tablet,3. Unusable Stock,Nilgiris,0.0
M19 [Other Items],19.14,Zinc 20 mg tablet,4. Stock Distributed,Nilgiris,47300.0
M19 [Other Items],19.14,Zinc 20 mg tablet,5. Total Stock,Nilgiris,0.0
M19 [Other Items],19.15,Albendazole 400 mg tablet,1. Balance From Previous Month,Nilgiris,0.0
M19 [Other Items],19.15,Albendazole 400 mg tablet,2. Stocks Received,Nilgiris,605000.0
M19 [Other Items],19.15,Albendazole 400 mg tablet,3. Unusable Stock,Nilgiris,0.0
M19 [Other Items],19.15,Albendazole 400 mg tablet,4. Stock Distributed,Nilgiris,605000.0
M19 [Other Items],19.15,Albendazole 400 mg tablet,5. Total Stock,Nilgiris,0.0
M19 [Other Items],19.16,Calcium Tablets,1. Balance From Previous Month,Nilgiris,0.0
M19 [Other Items],19.16,Calcium Tablets,2. Stocks Received,Nilgiris,398700.0
M19 [Other Items],19.16,Calcium Tablets,3. Unusable Stock,Nilgiris,0.0
M19 [Other Items],19.16,Calcium Tablets,4. Stock Distributed,Nilgiris,398700.0
M19 [Other Items],19.16,Calcium Tablets,5. Total Stock,Nilgiris,0.0
M20 [Syringes],20.1,Syringes - 0.1 ml (AD),1. Balance From Previous Month,Nilgiris,100116.0
M20 [Syringes],20.1,Syringes - 0.1 ml (AD),2. Stocks Received,Nilgiris,7900.0
M20 [Syringes],20.1,Syringes - 0.1 ml (AD),3. Unusable Stock,Nilgiris,1130.0
M20 [Syringes],20.1,Syringes - 0.1 ml (AD),4. Stock Distributed,Nilgiris,11886.0
M20 [Syringes],20.1,Syringes - 0.1 ml (AD),5. Total Stock,Nilgiris,95000.0
M20 [Syringes],20.2,Syringes - 0.5 ml (AD),1. Balance From Previous Month,Nilgiris,729704.0
M20 [Syringes],20.2,Syringes - 0.5 ml (AD),2. Stocks Received,Nilgiris,17000.0
M20 [Syringes],20.2,Syringes - 0.5 ml (AD),3. Unusable Stock,Nilgiris,1923.0
M20 [Syringes],20.2,Syringes - 0.5 ml (AD),4. Stock Distributed,Nilgiris,50719.0
M20 [Syringes],20.2,Syringes - 0.5 ml (AD),5. Total Stock,Nilgiris,694062.0
M20 [Syringes],20.3,Syringes - 5.0 ml (Disposable),1. Balance From Previous Month,Nilgiris,263832.0
M20 [Syringes],20.3,Syringes - 5.0 ml (Disposable),2. Stocks Received,Nilgiris,15400.0
M20 [Syringes],20.3,Syringes - 5.0 ml (Disposable),3. Unusable Stock,Nilgiris,304.0
M20 [Syringes],20.3,Syringes - 5.0 ml (Disposable),4. Stock Distributed,Nilgiris,5382.0
M20 [Syringes],20.3,Syringes - 5.0 ml (Disposable),5. Total Stock,Nilgiris,273546.0
M21 [Rashtriya Bal Swasthaya Karyakram (RBSK)],21.1,Number of newborn screened for defects at birth (as per RBSK),TOTAL,Nilgiris,3683.0
M21 [Rashtriya Bal Swasthaya Karyakram (RBSK)],21.2,Number of children (6 month to 6 years) screened by RBSK mobile health teams at Anganwadi center,TOTAL,Nilgiris,46991.0
M21 [Rashtriya Bal Swasthaya Karyakram (RBSK)],21.3,Number of children (6 years to 18 years) screened by RBSK mobile health teams at Govt and Govt aided schools,TOTAL,Nilgiris,51349.0
M21 [Rashtriya Bal Swasthaya Karyakram (RBSK)],21.4.1.a,Number of Male children identified with Disease,TOTAL,Nilgiris,2195.0
M21 [Rashtriya Bal Swasthaya Karyakram (RBSK)],21.4.1.b,Number of Female children identified with Disease,TOTAL,Nilgiris,1911.0
M21 [Rashtriya Bal Swasthaya Karyakram (RBSK)],21.4.2.a,Number of Male children identified with Deficiency,TOTAL,Nilgiris,492.0
M21 [Rashtriya Bal Swasthaya Karyakram (RBSK)],21.4.2.b,Number of Female children identified with Deficiency,TOTAL,Nilgiris,448.0
M21 [Rashtriya Bal Swasthaya Karyakram (RBSK)],21.4.3.a,Number of Male children identified with Developmental delay,TOTAL,Nilgiris,1063.0
M21 [Rashtriya Bal Swasthaya Karyakram (RBSK)],21.4.3.b,Number of Female children identified with Developmental delay,TOTAL,Nilgiris,1169.0
M21 [Rashtriya Bal Swasthaya Karyakram (RBSK)],21.5.1,Number of Children Managed by Intervention - Medical,TOTAL,Nilgiris,3486.0
M21 [Rashtriya Bal Swasthaya Karyakram (RBSK)],21.5.2,Number of Children Managed by Intervention - Surgical,TOTAL,Nilgiris,2.0
M21 [Rashtriya Bal Swasthaya Karyakram (RBSK)],21.5.3,Early intervention at DEIC ( District Early Intervention Centre),TOTAL,Nilgiris,5433.0
M22 [Adolscent Health],22.1.1.a,Girls (6th -12th class) provided 4 IFA tablets in schools,TOTAL,Nilgiris,217568.0
M22 [Adolscent Health],22.1.1.b,Boys (6th -12th class) provided 4 IFA tablets in schools,TOTAL,Nilgiris,208897.0
M22 [Adolscent Health],22.1.2.a,Girls (6th -12th class) provided albendazole in schools,TOTAL,Nilgiris,17204.0
M22 [Adolscent Health],22.1.2.b,Boys (6th -12th class) provided albendazole in schools,TOTAL,Nilgiris,20334.0
M22 [Adolscent Health],22.1.3,Number of out of school adolscent girls (10-19 years) provided 4 IFA tablets at Anganwadi Centres,TOTAL,Nilgiris,2763.0
M22 [Adolscent Health],22.1.4,Number of out of school adolscent girls (10-19 years) provided albendazole at Anganwadi Centres,TOTAL,Nilgiris,1570.0
M22 [Adolscent Health],22.2.1,Number of adolescent girls provided sanitary napkin packs,TOTAL,Nilgiris,87223.0
M22 [Adolscent Health],22.2.2,Number of sanitary napkin packs sold to adolescent girls,TOTAL,Nilgiris,0.0
M22 [Adolscent Health],22.2.3,Number of sanitary napkin packs distributed free to ASHA,TOTAL,Nilgiris,260319.0
M22 [Adolscent Health],22.2.4,Number of adolescent girls attended monthly meeting,TOTAL,Nilgiris,30529.0
M23 [Coverage under WIFS JUNIOR (Weekly Iron Folic Acid Supplementation Programme for children 6 - 1,23.1,Number of children covered under WIFS JUNIOR (6 - 10 years ) provided 4-5 IFA tablets in schools,TOTAL,Nilgiris,399471.0
M23 [Coverage under WIFS JUNIOR (Weekly Iron Folic Acid Supplementation Programme for children 6 - 1,23.2,Number of children (6 - 10 years) provided albendazole in schools,TOTAL,Nilgiris,74494.0
M23 [Coverage under WIFS JUNIOR (Weekly Iron Folic Acid Supplementation Programme for children 6 - 1,23.3,Number of out of school children (6-10 years) given 4-5 IFA tablets at Anganwadi Centres,TOTAL,Nilgiris,11051.0
M23 [Coverage under WIFS JUNIOR (Weekly Iron Folic Acid Supplementation Programme for children 6 - 1,23.4,Number of out of school children (6-10 years) provided albendazole at Anganwadi Centres,TOTAL,Nilgiris,4860.0
M24 [Maternal Death Reviews (MDR) Done],24.1,Total Maternal Deaths Reviewed (MDR) by CMO,TOTAL,Nilgiris,3.0
M24 [Maternal Death Reviews (MDR) Done],24.2,Total Maternal Deaths Reviewed (MDR) by DM,TOTAL,Nilgiris,0.0
M24 [Maternal Death Reviews (MDR) Done],24.3,Number of maternal deaths reported through Community based Maternal Death Review (CBMDR),TOTAL,Nilgiris,3.0
M25 [Janani Shishu Suraksha Karyakram (JSSK)],25.1.1,Number of Pregnant Women provided - Free Medicines under JSSK,TOTAL,Nilgiris,3172.0
M25 [Janani Shishu Suraksha Karyakram (JSSK)],25.1.2,Number of Pregnant Women provided - Free Diet under JSSK,TOTAL,Nilgiris,3172.0
M25 [Janani Shishu Suraksha Karyakram (JSSK)],25.1.3,Number of Pregnant Women provided - Free Diagnostics under JSSK,TOTAL,Nilgiris,3172.0
M25 [Janani Shishu Suraksha Karyakram (JSSK)],25.1.4,Number of Pregnant Women provided - Free Home to facility transport under JSSK,TOTAL,Nilgiris,1348.0
M25 [Janani Shishu Suraksha Karyakram (JSSK)],25.1.5,Number of Pregnant Women provided - Interfacility transfers when needed under JSSK,TOTAL,Nilgiris,1958.0
M25 [Janani Shishu Suraksha Karyakram (JSSK)],25.1.6,Number of Pregnant Women provided - Free Drop Back home under JSSK,TOTAL,Nilgiris,1164.0
M25 [Janani Shishu Suraksha Karyakram (JSSK)],25.2.1,Number of sick infants provided - Free Medicines under JSSK,TOTAL,Nilgiris,953.0
M25 [Janani Shishu Suraksha Karyakram (JSSK)],25.2.2,Number of sick infants provided - Free Diagnostics under JSSK,TOTAL,Nilgiris,953.0
M25 [Janani Shishu Suraksha Karyakram (JSSK)],25.2.3,Number of sick infants provided - Free Home to facility transport under JSSK,TOTAL,Nilgiris,2.0
M25 [Janani Shishu Suraksha Karyakram (JSSK)],25.2.4,Number of sick infants provided - Interfacility transfers when needed under JSSK,TOTAL,Nilgiris,325.0
M25 [Janani Shishu Suraksha Karyakram (JSSK)],25.2.5,Number of sick infants provided - Free Drop Back home under JSSK,TOTAL,Nilgiris,0.0
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,Perambalur,7864.0
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,Perambalur,7141.0
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,Perambalur,5259.0
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,Perambalur,5442.0
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,Perambalur,2435.0
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,Perambalur,7678.0
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,Perambalur,7103.0
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,Perambalur,7151.0
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,Perambalur,7307.0
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,Perambalur,0.0
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,Perambalur,371.0
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,Perambalur,355.0
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,Perambalur,23.0
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,Perambalur,2276.0
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,Perambalur,5029.0
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,Perambalur,496.0
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,Perambalur,287.0
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,Perambalur,15614.0
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,Perambalur,416.0
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,Perambalur,129.0
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,Perambalur,
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,Perambalur,
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,Perambalur,701.0
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,Perambalur,0.0
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,Perambalur,0.0
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,Perambalur,0.0
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,Perambalur,0.0
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,Perambalur,0.0
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,Perambalur,4.0
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,Perambalur,0.0
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,Perambalur,0.0
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,Perambalur,6889.0
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,Perambalur,20.0
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,Perambalur,0.0
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,Perambalur,3313.0
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,Perambalur,840.0
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,Perambalur,3573.0
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,Perambalur,3360.0
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,Perambalur,183.0
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,Perambalur,63.0
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,Perambalur,525.0
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,Perambalur,578.0
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,Perambalur,40.0
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,Perambalur,0.0
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,Perambalur,0.0
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,Perambalur,0.0
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,Perambalur,6933.0
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,Perambalur,1485.0
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,Perambalur,5624.0
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,Perambalur,3938.0
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,Perambalur,1637.0
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,Perambalur,0.0
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,Perambalur,0.0
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,Perambalur,4170.0
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,Perambalur,4180.0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,Perambalur,3228.0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,Perambalur,5522.0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,Perambalur,3158.0
